latitude,longitude,index
-25,-53,0.522
-25,-52,0.573
-25,-51,0.597
-25,-50,0.75
-25,-49,0.809
-25,-48,0.829
-25,16,0.168
-25,17,0.105
-25,18,0.164
-25,19,0.18
-25,20,0.183
-25,21,0.164
-25,22,0.168
-25,23,0.172
-25,24,0.215
-25,25,0.18
-25,26,0.219
-25,27,0.239
-25,28,0.286
-25,29,0.294
-25,30,0.223
-25,31,0.333
-25,32,0.27
-25,33,0.424
-25,34,0.306
-25,35,0.494
-25,45,0.302
-25,46,0.25
-25,47,0.246
-25,114,0.215
-25,115,0.195
-25,116,0.148
-25,117,0.14
-25,118,0.117
-25,119,0.124
-25,120,0.164
-25,121,0.172
-25,122,0.16
-25,123,0.164
-25,124,0.144
-25,125,0.148
-25,126,0.14
-25,127,0.148
-25,128,0.152
-25,129,0.164
-25,130,0.164
-25,131,0.187
-25,132,0.172
-25,133,0.191
-25,134,0.195
-25,135,0.168
-25,136,0.152
-25,137,0.176
-25,138,0.164
-25,139,0.144
-25,140,0.333
-25,141,0.12
-25,142,0.132
-25,143,0.144
-25,144,0.203
-25,145,0.239
-25,146,0.207
-25,147,0.38
-25,148,0.29
-25,149,0.266
-25,150,0.309
-25,151,0.25
-25,152,0.676
-24,-70,0.069
-24,-69,0.085
-24,-68,0.042
-24,-67,0.097
-24,-66,0.14
-24,-65,0.557
-24,-64,0.412
-24,-63,0.542
-24,-62,0.66
-24,-61,0.617
-24,-60,0.624
-24,-59,0.617
-24,-58,0.569
-24,-57,0.412
-24,-56,0.408
-24,-55,0.463
-24,-54,0.463
-24,-53,0.479
-24,-52,0.412
-24,-51,0.601
-24,-50,0.491
-24,-49,0.53
-24,-48,0.317
-24,-47,0.195
-24,-46,0.695
-24,15,0.085
-24,16,0.101
-24,17,0.144
-24,18,0.14
-24,19,0.187
-24,20,0.152
-24,21,0.176
-24,22,0.187
-24,23,0.207
-24,24,0.191
-24,25,0.199
-24,26,0.207
-24,27,0.235
-24,28,0.243
-24,29,0.278
-24,30,0.227
-24,31,0.266
-24,32,0.25
-24,33,0.313
-24,34,0.333
-24,35,0.408
-24,45,0.313
-24,46,0.231
-24,47,0.439
-24,48,0.617
-24,115,0.215
-24,116,0.148
-24,117,0.18
-24,118,0.14
-24,119,0.14
-24,120,0.168
-24,121,0.16
-24,122,0.183
-24,123,0.195
-24,124,0.176
-24,125,0.152
-24,126,0.124
-24,127,0.168
-24,128,0.172
-24,129,0.172
-24,130,0.16
-24,131,0.164
-24,132,0.183
-24,133,0.144
-24,134,0.16
-24,135,0.18
-24,136,0.16
-24,137,0.207
-24,138,0.219
-24,139,0.211
-24,140,0.152
-24,141,0.148
-24,142,0.105
-24,143,0.168
-24,144,0.211
-24,145,0.191
-24,146,0.203
-24,147,0.329
-24,148,0.431
-24,149,0.325
-24,150,0.309
-24,151,0.286
-23,-70,0.065
-23,-69,0.081
-23,-68,0.073
-23,-67,0.113
-23,-66,0.136
-23,-65,0.754
-23,-64,0.502
-23,-63,0.404
-23,-62,0.372
-23,-61,0.412
-23,-60,0.451
-23,-59,0.554
-23,-58,0.573
-23,-57,0.573
-23,-56,0.455
-23,-55,0.443
-23,-54,0.526
-23,-53,0.435
-23,-52,0.416
-23,-51,0.561
-23,-50,0.554
-23,-49,0.435
